order,zoho_invoice_id,zoho_net,shopify_net,delta,zoho_total,shopify_total,status
49355,3806639000015050620,0,1298,1298,1258.95,1298,large_mismatch
49354,3806639000015042642,0,2278.1,2278.1,2392.01,2278.1,large_mismatch
49353,3806639000015047530,0,1899.05,1899.05,1993.99,1899.05,large_mismatch
49352,3806639000015082356,0,1298,1298,1258.95,1298,large_mismatch
49351,3806639000015073520,0,1398,1398,1363.95,1398,large_mismatch
49350,3806639000015057577,0,1398,1398,1363.95,1398,large_mismatch
49349,3806639000015076421,0,2898,2898,2938.95,2898,large_mismatch
49348,3806639000015102590,0,1398,1398,1363.95,1398,large_mismatch
49347,3806639000015057569,0,1398,1398,1363.95,1398,large_mismatch
49346,3806639000015101311,0,1298,1298,1258.95,1298,large_mismatch
49345,3806639000015081479,0,1998.05,1998.05,1993.99,1998.05,large_mismatch
49344,3806639000015076412,0,1398,1398,1363.95,1398,large_mismatch
49343,3806639000015073511,0,2497,2497,2517.9,2497,large_mismatch
49342,3806639000015075509,0,1147.67,1147.67,1205.05,1147.67,large_mismatch
49341,3806639000015047506,0,1298,1298,1258.95,1298,large_mismatch
49340,3806639000015054537,0,1398,1398,1363.95,1398,large_mismatch
49339,3806639000015074589,0,1172.35,1172.35,1230.97,1172.35,large_mismatch
49338,3806639000015080428,0,1139.05,1139.05,1196,1139.05,large_mismatch
49337,3806639000015072422,0,1299,1299,1363.95,1299,large_mismatch
49336,3806639000015074578,0,2098,2098,2098.95,2098,large_mismatch
49335,3806639000015082318,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49334,3806639000015077510,0,2197,2197,2202.9,2197,large_mismatch
49333,3806639000015045666,0,1082.1,1082.1,1136.21,1082.1,large_mismatch
49332,3806639000015042623,0,1398,1398,1363.95,1398,large_mismatch
49331,3806639000015057546,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49330,3806639000015054507,0,2098,2098,2098.95,2098,large_mismatch
49329,3806639000015057537,0,1398,1398,1363.95,1398,large_mismatch
49328,3806639000015076405,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49327,3806639000015080417,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49326,3806639000015057493,0,2898,2898,2938.96,2898,large_mismatch
49325,3806639000015053429,0,2098,2098,2098.95,2098,large_mismatch
49324,3806639000015071516,0,1398,1398,1363.95,1398,large_mismatch
49323,3806639000015051620,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49322,3806639000015101278,0,1172.35,1172.35,1230.97,1172.35,large_mismatch
49321,3806639000015051611,0,1398,1398,1363.95,1398,large_mismatch
49320,3806639000015050568,0,1110.65,1110.65,1166.18,1110.65,large_mismatch
49319,3806639000015102550,0,1333.05,1333.05,1295.75,1333.05,large_mismatch
49318,3806639000015052556,0,2659.05,2659.05,2792,2659.05,large_mismatch
49317,3806639000015048536,0,2758.05,2758.05,2792,2758.05,large_mismatch
49316,3806639000015073484,0,2898,2898,2938.95,2898,large_mismatch
49315,3806639000015046532,0,1139.05,1139.05,1196,1139.05,large_mismatch
49314,3806639000015076392,0,1898.1,1898.1,1889.06,1898.1,large_mismatch
49313,3806639000015052535,0,1139.05,1139.05,1196.01,1139.05,large_mismatch
49312,3806639000015045617,0,1139.05,1139.05,1196,1139.05,large_mismatch
49310,3806639000015048512,0,1298,1298,1258.95,1298,large_mismatch
49311,3806639000015074543,0,1398,1398,1363.95,1398,large_mismatch
49308,3806639000015050555,0,3132.15,3132.15,3288.76,3132.15,large_mismatch
49309,3806639000015083520,0,1139.05,1139.05,1196,1139.05,large_mismatch
49307,3806639000015073449,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49306,3806639000015101270,0,1298,1298,1258.95,1298,large_mismatch
49305,3806639000015050546,0,151.95,151.95,159.55,151.95,large_mismatch
49304,3806639000015080371,0,1199,1199,1258.95,1199,large_mismatch
49303,3806639000015080359,0,1899.05,1899.05,1993.99,1899.05,large_mismatch
49302,3806639000015043410,0,1214.07,1214.07,1170.82,1214.07,large_mismatch
49301,3806639000015051602,0,2697,2697,2727.9,2697,large_mismatch
49300,3806639000015070380,0,1172.35,1172.35,1230.97,1172.35,large_mismatch
49299,3806639000015042569,0,3512.15,3512.15,3687.76,3512.15,large_mismatch
49298,3806639000015048497,0,2758.05,2758.05,2792,2758.05,large_mismatch
49297,3806639000015046511,0,2098,2098,2098.95,2098,large_mismatch
49296,3806639000015082292,0,2098,2098,2098.95,2098,large_mismatch
49295,3806639000015043378,0,1398,1398,1363.95,1398,large_mismatch
49294,3806639000015050522,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49293,3806639000015083501,0,1398,1398,1363.95,1398,large_mismatch
49292,3806639000015101250,0,2373.1,2373.1,2491.76,2373.1,large_mismatch
49291,3806639000015078542,0,1298,1298,1258.95,1298,large_mismatch
49290,3806639000015077479,0,1298,1298,1258.95,1298,large_mismatch
49289,3806639000015053337,0,1398,1398,1363.95,1398,large_mismatch
49288,3806639000015046502,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49287,3806639000015065474,0,1147.67,1147.67,1205.05,1147.67,large_mismatch
49286,3806639000015072357,0,2206.98,2206.98,2317.33,2206.98,large_mismatch
49285,3806639000015052435,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49284,3806639000015048450,0,1298,1298,1258.95,1298,large_mismatch
49283,3806639000015074474,0,1298,1298,1258.95,1298,large_mismatch
49282,3806639000015074465,0,1398,1398,1363.95,1398,large_mismatch
49281,3806639000015046478,0,1298,1298,1258.95,1298,large_mismatch
49279,3806639000015080351,0,1139.05,1139.05,1196,1139.05,large_mismatch
49278,3806639000015071435,0,1085.96,1085.96,1140.26,1085.96,large_mismatch
49277,3806639000015081415,0,2098,2098,2098.95,2098,large_mismatch
49276,3806639000015083491,0,2295.33,2295.33,2410.1,2295.33,large_mismatch
49275,3806639000015102503,0,2098,2098,2098.95,2098,large_mismatch
49274,3806639000015074457,0,1139.05,1139.05,1196,1139.05,large_mismatch
49273,3806639000015075440,0,1139.05,1139.05,1196,1139.05,large_mismatch
49272,3806639000015053284,0,1398,1398,1363.95,1398,large_mismatch
49271,3806639000015054403,0,1172.35,1172.35,1230.97,1172.35,large_mismatch
49270,3806639000015054394,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49269,3806639000015065426,0,1398,1398,1363.95,1398,large_mismatch
49268,3806639000015081391,0,1298,1298,1258.95,1298,large_mismatch
49267,3806639000015048441,0,1139.05,1139.05,1196,1139.05,large_mismatch
49266,3806639000015051543,0,2758.05,2758.05,2792,2758.05,large_mismatch
49265,3806639000015102490,0,1899.05,1899.05,1993.99,1899.05,large_mismatch
49264,3806639000015072347,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49263,3806639000015043342,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49262,3806639000015045556,0,1139.05,1139.05,1196,1139.05,large_mismatch
49261,3806639000015042491,0,1238.05,1238.05,1196,1238.05,large_mismatch
49260,3806639000015082253,0,1398,1398,1363.95,1398,large_mismatch
49259,3806639000015054370,0,1079.1,1079.1,1133.06,1079.1,large_mismatch
49258,3806639000015082245,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49257,3806639000015047459,0,1139.05,1139.05,1196.01,1139.05,large_mismatch
49256,3806639000015057370,0,1147.67,1147.67,1205.05,1147.67,large_mismatch
49255,3806639000015051504,0,1298,1298,1258.95,1298,large_mismatch
49254,3806639000015045547,0,1298,1298,1258.95,1298,large_mismatch
49253,3806639000015045539,0,1298,1298,1258.95,1298,large_mismatch
49252,3806639000015070263,0,1082.1,1082.1,1136.21,1082.1,large_mismatch
49251,3806639000015048421,0,1139.05,1139.05,1196,1139.05,large_mismatch
49250,3806639000015102477,0,1899.05,1899.05,1993.99,1899.05,large_mismatch
49249,3806639000015043333,0,1398,1398,1363.95,1398,large_mismatch
49248,3806639000015083447,0,1238.05,1238.05,1196,1238.05,large_mismatch
49247,3806639000015081352,0,1139.05,1139.05,1196.01,1139.05,large_mismatch
49246,3806639000015043325,0,898,898,838.95,898,large_mismatch
49245,3806639000015077422,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49244,3806639000015050466,0,1139.05,1139.05,1196,1139.05,large_mismatch
49243,3806639000015074433,0,1398,1398,1363.95,1398,large_mismatch
49242,3806639000015070254,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49241,3806639000015051494,0,2098,2098,2098.95,2098,large_mismatch
